User,usage_time,session_duration_time
P0701,33,3
P0702,99,17
P0703,182,32
P0704,168,2
P0705,237,5
P0706,119,11
P0707,200,13
P0708,198,13
P0709,410,25
P0710,111,18
P0711,176,10
P0712,140,24
P0713,106,27
P0714,105,28
P0715,182,74
P0716,285,29
P0717,265,16
P0718,156,23
P0719,330,8
P0721,107,18
P0722,604,37
P0723,374,13
P0725,312,6
P0726,185,27
P0727,228,13
P0728,404,9
P0729,234,12
P1501,289,31
P1502,177,15
P1503,225,11
P1504,95,19
P1505,239,14
P1506,256,20
P1507,530,18
P1508,115,23
P1509,236,18
P1510,168,22
P1511,291,10
P1514,287,39
P1515,218,14
P1516,211,24
P1517,407,34
P1518,344,27
P1519,254,33
P1520,183,6
P1521,281,19
P1522,173,16
P1523,221,19
P1525,149,11
P1526,103,2
P1527,444,16
P1541,224,24
P3001,317,14
P3002,405,8
P3003,395,32
P3005,578,42
P3007,202,11
P3009,248,18
P3010,266,15
P3011,116,21
P3012,148,31
P3013,322,16
P3014,235,157
P3015,164,15
P3016,222,19
P3017,288,17
P3018,130,17
P3019,118,18
P3021,416,14
P3023,137,51
P3024,85,10
P3025,198,14
P3027,105,34
P3028,170,10
P3029,291,9
P3030,218,11
P3041,210,19
