Date,TotalUsageTime,User
2019-04-30,53,P3041
2019-05-01,1078,P3041
2019-05-02,679,P3041
2019-05-03,1210,P3041
2019-05-04,1405,P3041
2019-05-05,587,P3041
2019-05-06,1143,P3041
2019-04-30,1269,P3025
2019-05-01,1378,P3025
2019-05-02,1354,P3025
2019-05-03,1395,P3025
2019-05-04,1387,P3025
2019-05-05,1438,P3025
2019-05-06,707,P3025
2019-04-30,825,P3029
2019-05-01,848,P3029
2019-05-02,548,P3029
2019-05-03,824,P3029
2019-05-04,789,P3029
2019-05-05,1077,P3029
2019-05-06,976,P3029
2019-04-30,870,P3027
2019-05-01,1753,P3027
2019-05-02,439,P3027
2019-05-03,1158,P3027
2019-05-04,120,P3027
2019-04-30,440,P3030
2019-05-01,151,P3030
2019-05-02,200,P3030
2019-05-03,177,P3030
2019-05-04,1014,P3030
2019-05-05,650,P3030
2019-05-06,73,P3030
2019-04-30,1102,P3028
2019-05-01,1190,P3028
2019-05-02,1050,P3028
2019-05-03,962,P3028
2019-05-04,848,P3028
2019-05-05,1189,P3028
2019-05-06,564,P3028
2019-04-30,1196,P3018
2019-05-01,1140,P3018
2019-05-02,995,P3018
2019-05-03,771,P3018
2019-05-04,1770,P3018
2019-05-05,693,P3018
2019-05-06,1136,P3018
2019-04-30,111,P3016
2019-05-01,118,P3016
2019-05-02,143,P3016
2019-05-03,24,P3016
2019-05-04,158,P3016
2019-05-05,144,P3016
2019-05-06,113,P3016
2019-04-30,511,P3014
2019-05-01,1449,P3014
2019-05-02,333,P3014
2019-05-03,1209,P3014
2019-04-30,566,P3019
2019-05-01,510,P3019
2019-05-02,876,P3019
2019-05-03,792,P3019
2019-05-04,363,P3019
2019-05-05,400,P3019
2019-05-06,348,P3019
2019-04-30,1283,P3017
2019-05-01,1321,P3017
2019-05-02,1069,P3017
2019-05-03,254,P3017
2019-05-04,1830,P3017
2019-05-05,1190,P3017
2019-05-06,1008,P3017
2019-04-30,731,P3021
2019-05-01,1035,P3021
2019-05-02,1296,P3021
2019-05-03,1189,P3021
2019-05-04,1284,P3021
2019-05-05,1000,P3021
2019-05-06,623,P3021
2019-04-30,333,P3015
2019-05-01,468,P3015
2019-05-02,762,P3015
2019-05-03,618,P3015
2019-05-04,867,P3015
2019-05-05,652,P3015
2019-05-06,668,P3015
2019-05-01,11,P3024
2019-05-02,393,P3024
2019-05-03,604,P3024
2019-05-04,0,P3024
2019-05-05,0,P3024
2019-05-06,126,P3024
2019-05-03,615,P3023
2019-05-04,828,P3023
2019-05-05,1336,P3023
2019-05-06,628,P3023
2019-04-30,1116,P3001
2019-05-01,1072,P3001
2019-05-02,1195,P3001
2019-05-03,1413,P3001
2019-05-04,757,P3001
2019-05-05,741,P3001
2019-05-06,1126,P3001
2019-04-30,513,P3012
2019-05-01,1074,P3012
2019-05-02,895,P3012
2019-05-03,1718,P3012
2019-05-04,775,P3012
2019-05-05,1138,P3012
2019-05-06,1075,P3012
2019-04-30,517,P3003
2019-05-01,1383,P3003
2019-05-02,1140,P3003
2019-05-03,829,P3003
2019-05-04,1769,P3003
2019-05-05,902,P3003
2019-05-06,867,P3003
2019-04-30,1216,P3002
2019-05-01,1021,P3002
2019-05-02,1461,P3002
2019-05-03,985,P3002
2019-05-04,883,P3002
2019-05-05,536,P3002
2019-05-06,1115,P3002
2019-04-30,946,P3005
2019-05-01,970,P3005
2019-05-02,1571,P3005
2019-05-03,880,P3005
2019-05-04,1155,P3005
2019-05-05,1236,P3005
2019-05-06,803,P3005
2019-04-30,310,P3009
2019-05-01,327,P3009
2019-05-02,295,P3009
2019-05-03,994,P3009
2019-05-04,321,P3009
2019-04-30,1076,P3011
2019-05-01,648,P3011
2019-05-02,807,P3011
2019-05-03,1062,P3011
2019-05-04,712,P3011
2019-05-05,854,P3011
2019-05-06,891,P3011
2019-04-30,922,P3013
2019-05-01,856,P3013
2019-05-02,250,P3013
2019-05-03,192,P3013
2019-05-04,519,P3013
2019-05-05,429,P3013
2019-05-06,146,P3013
2019-04-30,1201,P3010
2019-05-01,780,P3010
2019-04-30,581,P3007
2019-05-01,1397,P3007
2019-05-02,963,P3007
2019-05-03,1239,P3007
2019-05-04,729,P3007
2019-05-05,666,P3007
2019-05-06,1573,P3007
2019-05-08,1190,P0728
2019-05-09,967,P0728
2019-05-10,914,P0728
2019-05-11,1304,P0728
2019-05-12,1189,P0728
2019-05-13,956,P0728
2019-05-14,1083,P0728
2019-05-08,584,P0708
2019-05-09,823,P0708
2019-05-10,319,P0708
2019-05-11,66,P0708
2019-05-12,739,P0708
2019-05-13,537,P0708
2019-05-14,828,P0708
2019-05-08,766,P0727
2019-05-09,1010,P0727
2019-05-10,1054,P0727
2019-05-11,749,P0727
2019-05-12,1126,P0727
2019-05-13,922,P0727
2019-05-14,596,P0727
2019-05-08,1291,P0711
2019-05-09,1475,P0711
2019-05-10,1038,P0711
2019-05-11,1238,P0711
2019-05-12,900,P0711
2019-05-13,1439,P0711
2019-05-14,1211,P0711
2019-05-08,43,P0725
2019-05-09,49,P0725
2019-05-10,182,P0725
2019-05-11,316,P0725
2019-05-12,21,P0725
2019-05-13,169,P0725
2019-05-14,24,P0725
2019-05-08,1379,P0714
2019-05-09,862,P0714
2019-05-10,1484,P0714
2019-05-11,751,P0714
2019-05-12,1287,P0714
2019-05-13,1055,P0714
2019-05-14,1009,P0714
2019-05-08,39,P0722
2019-05-09,648,P0722
2019-05-10,225,P0722
2019-05-11,84,P0722
2019-05-12,116,P0722
2019-05-13,21,P0722
2019-05-14,102,P0722
2019-05-08,1042,P0719
2019-05-09,1643,P0719
2019-05-10,1048,P0719
2019-05-11,1362,P0719
2019-05-12,1700,P0719
2019-05-13,870,P0719
2019-05-14,1588,P0719
2019-05-08,914,P0721
2019-05-09,1194,P0721
2019-05-10,1294,P0721
2019-05-11,781,P0721
2019-05-12,1429,P0721
2019-05-13,1336,P0721
2019-05-14,1067,P0721
2019-05-08,1396,P0718
2019-05-09,1144,P0718
2019-05-10,1376,P0718
2019-05-11,1127,P0718
2019-05-12,1737,P0718
2019-05-13,1228,P0718
2019-05-14,883,P0718
2019-05-08,882,P0729
2019-05-09,1386,P0729
2019-05-10,1454,P0729
2019-05-11,1269,P0729
2019-05-12,812,P0729
2019-05-13,903,P0729
2019-05-14,734,P0729
2019-05-08,115,P0703
2019-05-09,562,P0703
2019-05-10,106,P0703
2019-05-11,8,P0703
2019-05-12,70,P0703
2019-05-13,70,P0703
2019-05-14,334,P0703
2019-05-08,501,P0723
2019-05-09,831,P0723
2019-05-10,966,P0723
2019-05-11,855,P0723
2019-05-12,1148,P0723
2019-05-13,438,P0723
2019-05-14,406,P0723
2019-05-16,582,P1501
2019-05-17,460,P1501
2019-05-18,1066,P1501
2019-05-19,885,P1501
2019-05-20,1114,P1501
2019-05-21,880,P1501
2019-05-22,896,P1501
2019-05-08,690,P0717
2019-05-09,1202,P0717
2019-05-10,908,P0717
2019-05-11,1036,P0717
2019-05-12,884,P0717
2019-05-13,399,P0717
2019-05-14,964,P0717
2019-05-08,4,P0704
2019-05-09,21,P0704
2019-05-10,15,P0704
2019-05-11,2,P0704
2019-05-12,7,P0704
2019-05-13,4,P0704
2019-05-14,5,P0704
2019-05-11,697,P0726
2019-05-12,1132,P0726
2019-05-13,1109,P0726
2019-05-14,413,P0726
2019-05-16,863,P1503
2019-05-17,1268,P1503
2019-05-18,524,P1503
2019-05-19,1068,P1503
2019-05-20,1482,P1503
2019-05-21,721,P1503
2019-05-22,1438,P1503
2019-05-16,513,P1502
2019-05-17,978,P1502
2019-05-18,576,P1502
2019-05-19,556,P1502
2019-05-20,666,P1502
2019-05-21,1291,P1502
2019-05-22,657,P1502
2019-05-16,819,P1504
2019-05-17,1950,P1504
2019-05-18,4,P1504
2019-05-19,0,P1504
2019-05-20,3876,P1504
2019-05-21,1418,P1504
2019-05-22,787,P1504
2019-05-08,260,P0705
2019-05-09,100,P0705
2019-05-10,42,P0705
2019-05-11,36,P0705
2019-05-12,98,P0705
2019-05-13,219,P0705
2019-05-14,348,P0705
2019-05-08,666,P0706
2019-05-09,570,P0706
